event_name,actor,trigger,required_properties,optional_properties
qr_scan,Public,Dynamic QR resolved,business_id;qr_code_id;anonymous_session_id,source_label;referrer_host
review_page_view,Public,AI review page rendered,business_id;anonymous_session_id,qr_code_id;custom_domain
ai_generate_click,Public,Generate button pressed,business_id;anonymous_session_id,qr_code_id
ai_generate_success,Server,Usable draft returned,business_id;anonymous_session_id;generation_id,model;prompt_version;latency_ms;quota_type
ai_generate_failure,Server,AI generation failed,business_id;anonymous_session_id,error_class;provider;latency_ms
ai_regenerate_click,Public,Regenerate pressed,business_id;anonymous_session_id;generation_id,generation_number
review_edit,Public,Customer materially edited draft,business_id;anonymous_session_id;generation_id,edit_length_delta
experience_confirmed,Public,Genuine experience checkbox checked,business_id;anonymous_session_id;generation_id,
review_copy,Public,Review copied,business_id;anonymous_session_id;generation_id,was_edited
google_open,Public,Primary Google review destination opened,business_id;anonymous_session_id,generation_id;destination_id;qr_code_id
private_feedback_open,Public,Private feedback form opened,business_id;anonymous_session_id,qr_code_id
private_feedback_submit,Public,Private feedback stored,business_id;anonymous_session_id,feedback_id
profile_view,Public,Business trust page viewed,business_id;anonymous_session_id,custom_domain
profile_link_click,Public,Enabled profile link clicked,business_id;anonymous_session_id,link_type;link_id
review_request_prepared,Business,Manual message created,business_id;customer_id;review_request_id,template_id
review_request_marked_sent,Business,Owner manually marked sent,business_id;customer_id;review_request_id,
review_request_link_click,Public,Tracked manual request link opened,business_id;review_request_id,anonymous_session_id
qr_created,Business,QR source created,business_id;qr_code_id,source_label
custom_domain_added,Business,Custom hostname requested,business_id;custom_domain_id,hostname
custom_domain_activated,System,Custom hostname active,business_id;custom_domain_id,provider
subscription_checkout_started,Business,Checkout initiated,business_id,amount_paise;plan_code
subscription_activated,System,Verified entitlement activated,business_id,provider;provider_subscription_id
admin_business_suspended,Admin,Tenant suspended,business_id;actor_user_id,reason
